,customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date,month,year,difference_between_last_purchase_signup,Days since last purchase,purchase_group_by_monthsname
70,71,70.0,77900.0,1274.1552456794116,Male,West,44.0,Clothing,15.658137617896385,2022-07-22,2022-10-05,7,2022,75,-1120,2022-10
76,77,24.0,65000.0,68.87463130467754,Female,West,22.0,Clothing,5.626994421471054,2021-10-19,2021-10-19,10,2021,0,-1471,2021-10
77,78,61.0,42200.0,738.2521287903211,Male,West,30.0,Health,43.26715339176942,2021-12-01,2023-12-11,12,2021,740,-688,2023-12
79,80,25.0,58800.0,1682.844297362907,Male,South,20.0,Clothing,55.39720545861272,2021-07-03,2023-02-24,7,2021,601,-978,2023-02
81,82,52.0,75500.0,1604.4085684134866,Female,West,27.0,Electronics,32.68201322002092,2021-09-19,2022-05-07,9,2021,230,-1271,2022-05
82,83,31.0,69200.0,1728.7579112131093,Female,South,38.0,Health,16.1395917744793,2021-11-06,2023-09-12,11,2021,675,-778,2023-09
83,84,34.0,97500.0,318.3612242616509,Female,North,42.0,Health,1.311667577348441,2021-12-10,2022-07-27,12,2021,229,-1190,2022-07
84,85,53.0,113000.0,1706.1567522223536,Female,North,41.0,Clothing,82.13123443293455,2022-02-28,2023-05-09,2,2022,435,-904,2023-05
85,86,67.0,97900.0,1983.0780643287285,Female,South,34.0,Health,63.66545593457879,2022-10-19,2023-09-20,10,2022,336,-770,2023-09
86,87,57.0,22500.0,1459.1408854755102,Male,East,39.0,Health,22.93212412876884,2022-05-29,2023-08-19,5,2022,447,-802,2023-08
89,90,79.0,97000.0,1218.852876041372,Male,North,37.0,Health,53.87001860913857,2021-12-28,2023-08-28,12,2021,608,-793,2023-08
90,91,23.0,113500.0,629.6150363921738,Male,West,1.0,Clothing,30.01598764459783,2021-06-18,2023-12-08,6,2021,903,-691,2023-12
92,93,0.0,119000.0,1236.68183947303,Male,South,32.0,Electronics,21.76140244488256,2021-07-19,2021-08-21,7,2021,33,-1530,2021-08
94,95,71.0,81400.0,522.1983999177958,Female,North,33.0,Electronics,58.186035068466246,2021-11-08,2023-10-04,11,2021,695,-756,2023-10
100,101,27.0,70500.0,895.8857355427892,Female,West,5.0,Clothing,46.19983427939485,2021-01-28,2021-06-06,1,2021,129,-1606,2021-06
101,102,79.0,64000.0,104.09042032793565,Male,West,18.0,Electronics,3.50712794785325,2022-09-24,2022-10-18,9,2022,24,-1107,2022-10
102,103,53.0,76900.0,1375.5598646446333,Male,North,48.0,Toys,79.17178815635283,2021-05-13,2023-09-30,5,2021,870,-760,2023-09
103,104,31.0,48100.0,1807.3569106818047,Female,West,10.0,Clothing,88.37599988343821,2022-01-15,2023-03-09,1,2022,418,-965,2023-03
105,106,65.0,99800.0,272.19155742680454,Male,East,33.0,Health,26.799502456360933,2022-06-12,2023-04-15,6,2022,307,-928,2023-04
108,109,31.0,75600.0,1850.0234637141696,Male,East,5.0,Health,83.33356205052533,2022-10-11,2022-12-18,10,2022,68,-1046,2022-12
109,110,40.0,102600.0,932.1262630703084,Female,West,34.0,Toys,34.78278037861146,2021-08-15,2021-12-28,8,2021,135,-1401,2021-12
111,112,74.0,34600.0,650.1588419437372,Female,North,17.0,Electronics,27.42803762251319,2021-01-27,2022-04-17,1,2021,445,-1291,2022-04
114,115,38.0,78100.0,590.7381227913896,Male,West,17.0,Clothing,90.0854829977128,2021-03-30,2022-11-05,3,2021,585,-1089,2022-11
116,117,62.0,78800.0,1784.5761446659328,Female,South,38.0,Clothing,53.970551532663066,2021-05-02,2022-04-19,5,2021,352,-1289,2022-04
118,119,64.0,43400.0,658.9986139987441,Female,South,15.0,Clothing,34.86444783557177,2022-08-26,2022-11-20,8,2022,86,-1074,2022-11
119,120,70.0,114000.0,1117.6262288084108,Male,North,37.0,Health,58.37402252742222,2022-11-27,2023-06-17,11,2022,202,-865,2023-06
121,122,43.0,105500.0,202.35553331518776,Female,East,25.0,Toys,26.867504586489964,2022-06-09,2022-12-11,6,2022,185,-1053,2022-12
122,123,42.0,33100.0,1634.2471355593088,Female,West,21.0,Clothing,12.122686934022951,2021-01-24,2023-08-23,1,2021,941,-798,2023-08
123,124,77.0,84100.0,1790.9206895240443,Female,West,38.0,Clothing,55.88323175548175,2021-11-21,2023-05-21,11,2021,546,-892,2023-05
124,125,77.0,75800.0,1650.7407131804152,Male,North,2.0,Toys,17.650122251805566,2021-02-03,2022-10-11,2,2021,615,-1114,2022-10
125,126,77.0,44900.0,1799.6000216799484,Female,South,27.0,Toys,61.03617693219066,2021-09-04,2021-12-15,9,2021,102,-1414,2021-12
126,127,62.0,68700.0,1115.1617026955755,Female,West,49.0,Health,26.3521442483732,2021-01-19,2022-04-08,1,2021,444,-1300,2022-04
127,128,58.0,64700.0,1628.2710795608768,Female,East,32.0,Health,23.096300430062467,2021-01-30,2023-06-04,1,2021,855,-878,2023-06
128,129,46.0,111600.0,780.4044240143788,Female,North,21.0,Clothing,39.91807649888911,2021-02-18,2021-09-03,2,2021,197,-1517,2021-09
129,130,32.0,66500.0,1339.2103657284963,Female,North,4.0,Health,59.31917575579458,2021-06-29,2023-03-09,6,2021,618,-965,2023-03
130,131,62.0,40600.0,1977.8943521505455,Female,South,44.0,Health,54.5317672949313,2022-01-05,2023-05-20,1,2022,500,-893,2023-05
131,132,18.0,49800.0,466.9408932014723,Male,West,19.0,Clothing,24.47344772349805,2022-01-30,2023-12-27,1,2022,696,-672,2023-12
132,133,42.0,77900.0,792.0014976563396,Female,West,2.0,Toys,89.11166744533762,2022-08-13,2023-12-10,8,2022,484,-689,2023-12
133,134,24.0,23800.0,970.4938070739696,Male,North,26.0,Clothing,10.988196973520104,2022-05-11,2023-03-27,5,2022,320,-947,2023-03
134,135,26.0,47100.0,293.27066429970245,Male,East,34.0,Electronics,3.94675630743353,2022-03-07,2022-05-30,3,2022,84,-1248,2022-05
135,136,41.0,87300.0,180.45644872081243,Female,West,14.0,Clothing,60.27062694061976,2021-07-26,2021-08-14,7,2021,19,-1537,2021-08
136,137,18.0,87000.0,1662.8512753168163,Male,East,15.0,Electronics,12.340716806547649,2021-02-04,2022-08-01,2,2021,543,-1185,2022-08
140,141,28.0,104000.0,150.30728616734143,Male,North,19.0,Clothing,61.74565803977604,2021-11-06,2022-04-28,11,2021,173,-1280,2022-04
141,142,68.0,102000.0,1784.8100485933917,Male,East,9.0,Health,57.48052248722807,2021-10-06,2023-03-19,10,2021,529,-955,2023-03
144,145,52.0,26000.0,963.393317054011,Male,East,13.0,Electronics,34.25235073667625,2021-08-31,2023-11-09,8,2021,800,-720,2023-11
145,146,52.0,29500.0,650.2421074908477,Male,South,27.0,Clothing,95.30743222220627,2021-01-10,2021-12-11,1,2021,335,-1418,2021-12
146,147,50.0,76500.0,988.2908351090877,Male,West,44.0,Clothing,24.2320231370725,2022-01-27,2023-01-05,1,2022,343,-1028,2023-01
147,148,76.0,49900.0,1721.921665897515,Male,South,35.0,Clothing,47.15163713960514,2021-02-17,2022-07-23,2,2021,521,-1194,2022-07
150,151,56.0,85100.0,742.0479389439864,Male,East,46.0,Toys,96.45152392844231,2021-06-06,2021-12-04,6,2021,181,-1425,2021-12
151,152,75.0,42700.0,1482.241639450827,Female,East,9.0,Electronics,60.8330255146991,2021-01-26,2022-03-28,1,2021,426,-1311,2022-03
153,154,45.0,111400.0,256.7327555490717,Female,North,23.0,Health,82.66497754640591,2022-11-09,2022-12-18,11,2022,39,-1046,2022-12
154,155,24.0,69700.0,1153.8328491688576,Male,West,36.0,Toys,29.14562713733706,2021-09-21,2022-09-23,9,2021,367,-1132,2022-09
155,156,26.0,102400.0,528.3521226933208,Male,South,40.0,Toys,16.47728019118859,2022-06-13,2023-02-04,6,2022,236,-998,2023-02
158,159,51.0,41800.0,1989.4746470890443,Female,South,19.0,Health,87.89489025953954,2021-09-11,2022-10-22,9,2021,406,-1103,2022-10
162,163,40.0,54200.0,1539.6476845695968,Male,East,49.0,Toys,66.45134329822682,2021-11-22,2023-07-27,11,2021,612,-825,2023-07
164,165,41.0,100200.0,994.2678889771532,Female,East,7.0,Toys,98.19287243501763,2021-04-28,2023-04-02,4,2021,704,-941,2023-04
169,170,39.0,87700.0,1056.6558874691143,Male,North,15.0,Clothing,59.82018957938588,2022-01-09,2022-07-08,1,2022,180,-1209,2022-07
170,171,44.0,57900.0,578.879691417607,Female,West,3.0,Electronics,38.98947642129998,2022-08-01,2023-07-22,8,2022,355,-830,2023-07
174,175,54.0,30900.0,1310.763713813672,Female,North,8.0,Toys,69.30751129704869,2022-02-18,2022-04-12,2,2022,53,-1296,2022-04
175,176,64.0,55900.0,1668.1860231523003,Male,West,5.0,Toys,1.4328455452302102,2022-01-15,2022-10-15,1,2022,273,-1110,2022-10
176,177,31.0,46900.0,1951.436596061763,Female,West,4.0,Electronics,32.4647390003876,2021-01-01,2022-09-10,1,2021,617,-1145,2022-09
177,178,20.0,83500.0,958.8453066185332,Male,North,14.0,Clothing,31.904403135366262,2021-06-16,2023-02-19,6,2021,613,-983,2023-02
178,179,18.0,34000.0,152.05388518278872,Male,South,16.0,Toys,74.8835285896717,2021-01-16,2022-04-03,1,2021,442,-1305,2022-04
180,181,43.0,60400.0,605.4167777578059,Male,South,24.0,Clothing,63.3327132365083,2021-04-22,2022-10-25,4,2021,551,-1100,2022-10
181,182,72.0,109500.0,1866.4382869178528,Female,South,6.0,Electronics,68.85244021078648,2022-01-03,2023-08-19,1,2022,593,-802,2023-08
182,183,31.0,35400.0,1055.9618488423323,Female,East,31.0,Toys,65.84255441971152,2021-04-12,2021-06-29,4,2021,78,-1583,2021-06
184,185,44.0,109900.0,810.3502531318187,Male,West,35.0,Electronics,41.36168493493947,2022-02-10,2022-06-11,2,2022,121,-1236,2022-06
187,188,32.0,32100.0,324.76062937015195,Female,North,3.0,Clothing,6.370310248432631,2022-11-02,2023-02-02,11,2022,92,-1000,2023-02
188,189,43.0,43800.0,1954.5227195594484,Male,North,11.0,Toys,87.58198420515261,2021-02-09,2023-07-11,2,2021,882,-841,2023-07
189,190,59.0,102700.0,1098.6490094259218,Male,West,3.0,Health,82.53151430303431,2022-10-29,2023-11-11,10,2022,378,-718,2023-11
190,191,77.0,29600.0,288.662869228713,Male,East,28.0,Electronics,34.63847170371896,2022-07-02,2023-01-15,7,2022,197,-1018,2023-01
192,193,68.0,86600.0,167.78409353726903,Male,West,33.0,Health,93.22276981844632,2022-05-31,2022-09-29,5,2022,121,-1126,2022-09
193,194,49.0,43800.0,1817.3161576914752,Female,East,48.0,Health,27.163679741209663,2022-05-12,2023-10-21,5,2022,527,-739,2023-10
200,201,47.0,112200.0,1470.1291242631587,Male,South,12.0,Clothing,90.7639293309544,2021-11-15,2022-03-15,11,2021,120,-1324,2022-03
203,204,56.0,53900.0,1669.7446260614151,Male,West,24.0,Health,58.63840220928984,2021-01-14,2022-04-18,1,2021,459,-1290,2022-04
204,205,62.0,57900.0,619.9746638244194,Female,East,44.0,Health,63.29886141924184,2021-02-25,2023-10-04,2,2021,951,-756,2023-10
205,206,32.0,35400.0,1933.7640827731232,Female,South,32.0,Toys,80.37054240166172,2022-02-07,2022-09-25,2,2022,230,-1130,2022-09
206,207,60.0,79700.0,1263.676671862272,Female,West,16.0,Health,97.92330832972443,2021-12-08,2022-02-25,12,2021,79,-1342,2022-02
207,208,46.0,47800.0,1862.6721031768805,Male,East,32.0,Clothing,79.53253540081879,2021-07-18,2023-08-14,7,2021,757,-807,2023-08
212,213,76.0,36100.0,1584.2293862885665,Female,North,47.0,Clothing,77.04321954012339,2021-03-19,2022-09-30,3,2021,560,-1125,2022-09
213,214,68.0,68900.0,649.6054516538632,Male,South,12.0,Health,23.10964782433119,2021-04-22,2022-06-24,4,2021,428,-1223,2022-06
214,215,39.0,43300.0,1167.8677089457003,Male,North,21.0,Clothing,90.34436965409276,2022-06-19,2023-06-22,6,2022,368,-860,2023-06
215,216,45.0,115300.0,704.337487281275,Female,West,21.0,Health,9.728136834686218,2022-01-10,2022-02-25,1,2022,46,-1342,2022-02
216,217,19.0,26700.0,1635.223421177512,Male,East,43.0,Toys,25.361205569194656,2021-04-26,2022-04-29,4,2021,368,-1279,2022-04
217,218,59.0,113100.0,944.121625660542,Male,West,6.0,Clothing,66.30234383244017,2021-05-22,2023-10-26,5,2021,887,-734,2023-10
221,222,70.0,36100.0,1008.619833108364,Male,North,14.0,Electronics,38.79305376548721,2021-03-17,2023-02-13,3,2021,698,-989,2023-02
223,224,45.0,83700.0,245.9971392330716,Male,East,1.0,Health,16.26061322873835,2021-04-10,2022-03-01,4,2021,325,-1338,2022-03
225,226,61.0,48800.0,1747.8570429085898,Male,East,34.0,Electronics,22.269401172941883,2022-04-13,2022-11-26,4,2022,227,-1068,2022-11
228,229,47.0,75600.0,20.36932577791297,Female,North,42.0,Clothing,44.070644240973614,2021-05-05,2022-12-18,5,2021,592,-1046,2022-12
229,230,79.0,98300.0,1235.6793234213196,Female,West,6.0,Electronics,79.65909363976444,2022-06-03,2022-06-13,6,2022,10,-1234,2022-06
230,231,28.0,69900.0,1240.5277911963028,Female,West,6.0,Health,86.14449345657881,2021-01-23,2022-04-25,1,2021,457,-1283,2022-04
234,235,42.0,41900.0,841.6216634377673,Female,South,26.0,Health,65.01417346469641,2021-01-21,2021-11-13,1,2021,296,-1446,2021-11
237,238,50.0,64000.0,411.3256567704377,Male,South,32.0,Health,49.56643822969191,2022-05-17,2022-11-21,5,2022,188,-1073,2022-11
240,241,44.0,101600.0,1060.0116691875348,Male,South,6.0,Clothing,79.66836460730265,2022-07-07,2022-12-13,7,2022,159,-1051,2022-12
241,242,79.0,115000.0,240.19331972967308,Male,West,23.0,Health,19.20097765235945,2021-07-22,2022-07-17,7,2021,360,-1200,2022-07
242,243,74.0,25500.0,1738.975204746478,Female,West,28.0,Toys,28.75717488919284,2022-02-20,2022-03-15,2,2022,23,-1324,2022-03
243,244,69.0,48900.0,608.7758319907751,Female,West,49.0,Toys,98.28385480194385,2022-10-02,2023-11-11,10,2022,405,-718,2023-11
244,245,30.0,26300.0,341.8252151880415,Female,East,30.0,Toys,37.35485541413044,2021-05-22,2021-05-23,5,2021,1,-1620,2021-05
246,247,20.0,54000.0,95.41087518665218,Male,South,37.0,Health,44.68154684192543,2021-04-17,2021-12-19,4,2021,246,-1410,2021-12
247,248,56.0,119200.0,1247.537758450845,Female,East,32.0,Clothing,86.40959241006102,2022-06-13,2023-10-14,6,2022,488,-746,2023-10
249,250,25.0,70300.0,445.534732145704,Male,North,34.0,Toys,2.291005989115935,2022-07-30,2023-05-27,7,2022,301,-886,2023-05
250,251,44.0,104800.0,103.08886541839588,Male,West,41.0,Electronics,29.43898859392372,2022-11-19,2023-07-08,11,2022,231,-844,2023-07
253,254,54.0,95100.0,250.6261423532074,Male,South,31.0,Health,10.202989464149038,2022-10-30,2023-05-28,10,2022,210,-885,2023-05
255,256,68.0,53800.0,605.0264907609834,Male,East,41.0,Health,30.21767314126576,2021-02-22,2023-10-09,2,2021,959,-751,2023-10
256,257,59.0,41700.0,1069.3412752224128,Male,East,21.0,Electronics,88.93277820194403,2022-08-08,2023-03-25,8,2022,229,-949,2023-03
257,258,61.0,95600.0,1363.215933295966,Female,South,16.0,Clothing,76.51696096585133,2021-07-02,2021-09-26,7,2021,86,-1494,2021-09
260,261,76.0,65300.0,360.73034425620034,Male,North,44.0,Toys,1.149797239729777,2021-01-13,2021-05-13,1,2021,120,-1630,2021-05
261,262,71.0,54100.0,1759.9631145899707,Female,West,47.0,Electronics,62.11344506719488,2022-07-13,2023-07-17,7,2022,369,-835,2023-07
263,264,49.0,50500.0,1742.4769091374242,Female,North,48.0,Toys,31.475649286076912,2021-10-11,2022-11-16,10,2021,401,-1078,2022-11
266,267,69.0,104100.0,1056.8535637881291,Male,North,5.0,Toys,74.98392836454242,2021-01-08,2021-12-23,1,2021,349,-1406,2021-12
267,268,66.0,77500.0,651.8645098445159,Male,East,11.0,Electronics,17.741241725123626,2021-03-13,2021-07-23,3,2021,132,-1559,2021-07
268,269,79.0,34500.0,950.4324366265188,Female,East,15.0,Clothing,1.3455257741813775,2021-04-08,2022-04-16,4,2021,373,-1292,2022-04
269,270,66.0,23500.0,1014.9319361173254,Female,North,29.0,Electronics,41.7562619448016,2021-03-28,2022-04-09,3,2021,377,-1299,2022-04
270,271,75.0,115900.0,417.5265300182237,Male,East,45.0,Health,66.56648349426617,2021-04-11,2022-05-12,4,2021,396,-1266,2022-05
271,272,69.0,28400.0,643.7205373059285,Male,South,4.0,Health,50.65986961834594,2021-10-08,2022-12-03,10,2021,421,-1061,2022-12
272,273,29.0,54900.0,1586.9913060038116,Female,East,49.0,Electronics,89.0466257624391,2021-10-16,2023-04-17,10,2021,548,-926,2023-04
279,280,66.0,73100.0,1975.7440874163933,Female,South,3.0,Clothing,79.33097732158208,2021-04-06,2022-10-28,4,2021,570,-1097,2022-10
281,282,34.0,103900.0,800.3893726296037,Male,East,10.0,Electronics,3.329778356517199,2022-05-27,2023-12-17,5,2022,569,-682,2023-12
282,283,76.0,104600.0,1214.6017084998289,Male,North,40.0,Toys,35.864559840152474,2021-05-01,2022-08-23,5,2021,479,-1163,2022-08
285,286,19.0,103400.0,856.8589469021375,Male,North,14.0,Electronics,37.7818283844905,2021-02-21,2023-12-06,2,2021,1018,-693,2023-12
287,288,71.0,90600.0,40.77740945709,Male,East,21.0,Clothing,39.37204065321951,2021-11-14,2022-12-30,11,2021,411,-1034,2022-12
288,289,40.0,102000.0,1792.2292719254667,Male,North,48.0,Electronics,17.94946272426481,2022-11-06,2023-03-25,11,2022,139,-949,2023-03
289,290,54.0,114800.0,315.29883536068013,Male,East,15.0,Health,0.3446143776869692,2022-12-03,2022-12-09,12,2022,6,-1055,2022-12
291,292,50.0,28000.0,1243.50448849567,Female,South,1.0,Toys,37.84750507273715,2022-08-20,2023-02-04,8,2022,168,-998,2023-02
292,293,18.0,42500.0,696.8576252862223,Male,East,24.0,Electronics,94.5117528887336,2021-07-13,2022-08-08,7,2021,391,-1178,2022-08
294,295,79.0,22100.0,45.55631140236412,Male,South,10.0,Toys,38.22307080175047,2021-01-21,2023-05-20,1,2021,849,-893,2023-05
295,296,19.0,45300.0,468.8474911083489,Male,East,46.0,Clothing,2.515412982311316,2022-02-03,2023-12-18,2,2022,683,-681,2023-12
298,299,43.0,49400.0,1228.5474407302888,Female,West,31.0,Clothing,23.78206472764919,2022-04-11,2022-05-25,4,2022,44,-1253,2022-05
299,300,49.0,35100.0,67.73818294916032,Male,West,11.0,Electronics,42.89951106401645,2021-05-31,2022-03-06,5,2021,279,-1333,2022-03
301,302,49.0,25200.0,271.6505556325097,Female,West,9.0,Toys,45.68354303128908,2021-11-06,2023-07-29,11,2021,630,-823,2023-07
302,303,72.0,114900.0,394.7816189136987,Male,East,47.0,Clothing,13.33424636440954,2022-05-19,2023-11-16,5,2022,546,-713,2023-11
303,304,21.0,22900.0,929.4762527850748,Male,South,14.0,Health,52.33484944191521,2021-01-26,2022-08-12,1,2021,563,-1174,2022-08
305,306,28.0,63700.0,1812.9668990992243,Male,East,31.0,Clothing,55.33427748141682,2021-09-20,2022-01-07,9,2021,109,-1391,2022-01
307,308,76.0,33500.0,409.8379861158535,Male,West,36.0,Toys,35.37959854689051,2021-06-16,2023-11-26,6,2021,893,-703,2023-11
308,309,34.0,37100.0,893.4780934166521,Female,East,39.0,Toys,63.85727377056324,2021-06-03,2023-11-09,6,2021,889,-720,2023-11
313,314,51.0,87200.0,451.9851725946809,Female,South,19.0,Health,16.236922452639302,2021-07-03,2023-09-01,7,2021,790,-789,2023-09
315,316,39.0,82500.0,942.9102594638082,Female,South,48.0,Health,96.55517746451302,2021-07-13,2022-08-02,7,2021,385,-1184,2022-08
316,317,28.0,65700.0,901.865321436187,Male,North,30.0,Electronics,28.1535111173546,2021-01-02,2023-10-19,1,2021,1020,-741,2023-10
321,322,77.0,57500.0,841.9473802787477,Male,South,4.0,Clothing,0.9883287775461436,2022-04-28,2022-09-15,4,2022,140,-1140,2022-09
322,323,76.0,112600.0,48.375193616662486,Male,West,37.0,Toys,33.80895216303905,2022-07-15,2023-04-01,7,2022,260,-942,2023-04
323,324,23.0,29600.0,967.1042537077004,Female,North,8.0,Toys,30.26457121918089,2021-02-01,2023-04-20,2,2021,808,-923,2023-04
325,326,46.0,20200.0,1642.8269150702838,Male,North,28.0,Clothing,52.91235390207832,2021-01-15,2021-10-04,1,2021,262,-1486,2021-10
328,329,77.0,94000.0,581.060856404414,Female,North,36.0,Electronics,59.05098088106291,2021-01-17,2023-01-27,1,2021,740,-1006,2023-01
331,332,36.0,52600.0,760.1400555566648,Male,North,24.0,Clothing,29.36121650647497,2022-10-18,2022-12-23,10,2022,66,-1041,2022-12
332,333,43.0,113600.0,1258.1533202143814,Male,West,47.0,Toys,60.7908947606941,2022-03-12,2023-04-11,3,2022,395,-932,2023-04
340,341,50.0,79100.0,1905.7823058733543,Male,South,22.0,Electronics,94.96941809192126,2021-03-24,2022-12-18,3,2021,634,-1046,2022-12
345,346,18.0,70100.0,34.52161865563694,Female,East,6.0,Electronics,24.64342807936556,2021-11-21,2022-11-04,11,2021,348,-1090,2022-11
346,347,28.0,35900.0,71.10259786909984,Male,South,27.0,Clothing,6.395789681913955,2022-02-23,2023-10-10,2,2022,594,-750,2023-10
348,349,74.0,37100.0,1050.4898202472662,Female,West,29.0,Health,84.58996459615251,2021-01-27,2021-09-30,1,2021,246,-1490,2021-09
350,351,67.0,117800.0,419.646834020241,Female,North,16.0,Clothing,78.30674701590162,2022-06-29,2022-09-18,6,2022,81,-1137,2022-09
351,352,40.0,116900.0,531.0457797377275,Male,South,12.0,Electronics,83.63960072839957,2021-03-03,2022-10-26,3,2021,602,-1099,2022-10
352,353,48.0,34300.0,244.81047180604764,Male,North,20.0,Clothing,45.44035588198637,2022-10-19,2023-11-16,10,2022,393,-713,2023-11
353,354,47.0,28000.0,1836.7351591144145,Male,North,18.0,Clothing,59.095506594047365,2021-06-20,2022-11-11,6,2021,509,-1083,2022-11
355,356,52.0,86800.0,1648.231440684558,Female,East,23.0,Electronics,93.91958616345016,2021-04-27,2023-01-03,4,2021,616,-1030,2023-01
356,357,24.0,97500.0,1807.4723001697275,Female,North,45.0,Electronics,72.55056850917613,2021-01-04,2021-04-01,1,2021,87,-1672,2021-04
357,358,77.0,85500.0,1059.30197371716,Male,West,27.0,Clothing,92.5342810770113,2021-03-07,2022-04-21,3,2021,410,-1287,2022-04
359,360,43.0,97500.0,674.1751178579207,Female,South,17.0,Toys,31.023685183267048,2022-05-17,2022-06-18,5,2022,32,-1229,2022-06
